Itemset: [257], Utility: 3726.00
Itemset: [600 55 240 38 11 897 1340 882 155 672 388], Utility: 3000.00
Itemset: [11 155 338 1332 38 240 388 882 897 55 600 672 1182], Utility: 3100.00
Itemset: [240 388 155 629 672 897 600 38 55 882 11 338 1182 1332], Utility: 3020.00
Itemset: [155 240 897 388 11 600 55 1332 672 1182 882 38], Utility: 3135.00
Itemset: [629 672 1182 600 388 155 240 897 11 38 55 1332 882], Utility: 3055.00
Itemset: [897 55 38 600 388 11 1182 672 338 155 240 882], Utility: 3029.00
Itemset: [600 882 897 11 240 672 55 155 388 38 1182], Utility: 3064.00
Itemset: [338 1182 11 38 155 672 240 1340 1332 897 882 55 388], Utility: 3100.00
Itemset: [55 1332 338 1182 388 897 11 38 629 882 1340 240 155 672], Utility: 3020.00
Itemset: [1182 240 897 882 1340 55 38 155 388 1332 672 11], Utility: 3135.00
Itemset: [882 388 55 155 1182 240 38 897 629 1332 672 11 1340], Utility: 3055.00
Itemset: [1340 240 897 38 338 388 882 672 1182 55 155 11], Utility: 3029.00
Itemset: [882 155 388 38 1182 672 1340 11 55 897 240], Utility: 3064.00
Itemset: [38 882 55 388 155 1332 11 897 240 1182 672], Utility: 3010.00
Itemset: [600 155 1332 240 11 388 338 672 1340 55 38 1182 882], Utility: 3122.00
Itemset: [38 388 11 240 882 338 672 55 600 155 1340 1182 1332 629], Utility: 3042.00
Itemset: [600 155 55 240 11 388 882 1340 1182 672 1332 38], Utility: 3157.00
Itemset: [882 1149 1332 38 11 388 1340 55 240 600 1182 672 155], Utility: 3010.00
Itemset: [388 629 600 1340 38 11 672 1332 882 155 55 240 1182], Utility: 3077.00
Itemset: [240 338 672 1340 882 55 600 11 155 38 1182 388], Utility: 3051.00
Itemset: [11 155 240 1182 38 882 55 1340 388 672 600], Utility: 3086.00
Itemset: [55 11 882 600 388 672 629 1340 155 240 1182 38], Utility: 3006.00
Itemset: [11 388 38 155 672 882 1332 600 1182 240 55], Utility: 3032.00
Itemset: [1332 155 11 672 55 1340 38 240 1182 882 388], Utility: 3032.00
Itemset: [167], Utility: 5361.00
Itemset: [180], Utility: 6426.00
Itemset: [57], Utility: 5501.00
Itemset: [147], Utility: 5589.00
Itemset: [540], Utility: 4673.00
Itemset: [210], Utility: 13382.00
Itemset: [217], Utility: 6513.00
Itemset: [230], Utility: 12895.00
Itemset: [97], Utility: 6071.00
Itemset: [620], Utility: 6409.00
Itemset: [37], Utility: 14120.00
Itemset: [1481], Utility: 14951.00
Itemset: [1261], Utility: 6128.00
Itemset: [310], Utility: 8354.00
Itemset: [90], Utility: 7313.00
Itemset: [10], Utility: 11850.00
Itemset: [290], Utility: 15359.00
Itemset: [114], Utility: 8480.00
Itemset: [1544], Utility: 11667.00
Itemset: [101], Utility: 5850.00
Itemset: [267], Utility: 8400.00
Itemset: [100], Utility: 18986.00
Itemset: [94], Utility: 5829.00
Itemset: [70], Utility: 10375.00
Itemset: [327], Utility: 5366.00
Itemset: [220], Utility: 20756.00
Itemset: [810], Utility: 5058.00
Itemset: [1234], Utility: 5060.00
Itemset: [60], Utility: 21466.00
Itemset: [144], Utility: 4760.00
Itemset: [51], Utility: 11383.00
Itemset: [790], Utility: 6233.00
Itemset: [1531], Utility: 4936.00
Itemset: [87], Utility: 15431.00
Itemset: [34], Utility: 14654.00
Itemset: [247], Utility: 15905.00
Itemset: [30], Utility: 14466.00
Itemset: [294], Utility: 9978.00
Itemset: [1051], Utility: 4209.00
Itemset: [1524], Utility: 10531.00
Itemset: [124], Utility: 11690.00
Itemset: [1314], Utility: 5846.00
Itemset: [140], Utility: 17533.00
Itemset: [1514], Utility: 5275.00
Itemset: [594], Utility: 5373.00
Itemset: [160], Utility: 18473.00
Itemset: [490], Utility: 16472.00
Itemset: [187], Utility: 10722.00
Itemset: [430], Utility: 18090.00
Itemset: [47], Utility: 24300.00
Itemset: [370], Utility: 10582.00
Itemset: [720], Utility: 7673.00
Itemset: [347], Utility: 12182.00
Itemset: [110], Utility: 21181.00
Itemset: [560], Utility: 11454.00
Itemset: [120], Utility: 21595.00
Itemset: [701], Utility: 5633.00
Itemset: [1111], Utility: 7742.00
Itemset: [64], Utility: 12813.00
Itemset: [1144], Utility: 7310.00
Itemset: [1517], Utility: 4224.00
Itemset: [1484], Utility: 6372.00
Itemset: [67], Utility: 17219.00
Itemset: [670], Utility: 15521.00
Itemset: [207], Utility: 12051.00
Itemset: [181], Utility: 7928.00
Itemset: [14], Utility: 15756.00
Itemset: [41], Utility: 7789.00
Itemset: [61], Utility: 7106.00
Itemset: [1511], Utility: 12347.00
Itemset: [1391], Utility: 10837.00
Itemset: [510], Utility: 6388.00
Itemset: [650], Utility: 13972.00
Itemset: [410], Utility: 14585.00
Itemset: [590], Utility: 19287.00
Itemset: [1521], Utility: 7266.00
Itemset: [200], Utility: 21341.00
Itemset: [741], Utility: 6430.00
Itemset: [700], Utility: 19793.00
Itemset: [1464], Utility: 23860.00
Itemset: [324], Utility: 15584.00
Itemset: [1050], Utility: 10866.00
Itemset: [170], Utility: 27690.00
Itemset: [260], Utility: 17456.00
Itemset: [270], Utility: 20251.00
Itemset: [154], Utility: 17027.00
Itemset: [340], Utility: 6656.00
Itemset: [637], Utility: 7815.00
Itemset: [7], Utility: 23116.00
Itemset: [894], Utility: 5833.00
Itemset: [380], Utility: 13829.00
Itemset: [1021], Utility: 10954.00
Itemset: [174], Utility: 15646.00
Itemset: [621], Utility: 11910.00
Itemset: [981], Utility: 10921.00
Itemset: [74], Utility: 15607.00
Itemset: [1301], Utility: 9162.00
Itemset: [561], Utility: 6831.00
Itemset: [31], Utility: 12531.00
Itemset: [157], Utility: 25958.00
Itemset: [557], Utility: 12536.00
Itemset: [850], Utility: 12887.00
Itemset: [201], Utility: 18445.00
Itemset: [564], Utility: 5727.00
Itemset: [564 171 991], Utility: 3014.00
Itemset: [968 564 171 991 175], Utility: 3232.00
Itemset: [564 171 991 175], Utility: 3365.00
Itemset: [710], Utility: 12349.00
Itemset: [440], Utility: 8271.00
Itemset: [307], Utility: 16280.00
Itemset: [20], Utility: 25320.00
Itemset: [1221], Utility: 14914.00
Itemset: [531], Utility: 5719.00
Itemset: [1280], Utility: 11076.00
Itemset: [80], Utility: 32657.00
Itemset: [397], Utility: 12338.00
Itemset: [280], Utility: 19198.00
Itemset: [651], Utility: 7250.00
Itemset: [690], Utility: 14744.00
Itemset: [1040], Utility: 11422.00
Itemset: [1491], Utility: 24965.00
Itemset: [254], Utility: 6044.00
Itemset: [1151], Utility: 6474.00
Itemset: [24], Utility: 17344.00
Itemset: [401], Utility: 6550.00
Itemset: [1361], Utility: 16886.00
Itemset: [734], Utility: 5734.00
Itemset: [1304], Utility: 6008.00
Itemset: [550], Utility: 23535.00
Itemset: [134], Utility: 23840.00
Itemset: [400], Utility: 16170.00
Itemset: [350], Utility: 17399.00
Itemset: [944], Utility: 8618.00
Itemset: [1020], Utility: 5052.00
Itemset: [1064], Utility: 5532.00
Itemset: [450], Utility: 29920.00
Itemset: [1494], Utility: 15899.00
Itemset: [434], Utility: 13286.00
Itemset: [297], Utility: 10217.00
Itemset: [567], Utility: 22727.00
Itemset: [727], Utility: 17563.00
Itemset: [1307], Utility: 11108.00
Itemset: [84], Utility: 24034.00
Itemset: [580], Utility: 24134.00
Itemset: [1141], Utility: 14163.00
Itemset: [1414], Utility: 13460.00
Itemset: [1101], Utility: 21738.00
Itemset: [91], Utility: 21247.00
Itemset: [770], Utility: 16614.00
Itemset: [640], Utility: 21903.00
Itemset: [1150 640 407 291], Utility: 3185.00
Itemset: [1294], Utility: 15446.00
Itemset: [314], Utility: 15104.00
Itemset: [127], Utility: 17753.00
Itemset: [50], Utility: 33253.00
Itemset: [1351], Utility: 14171.00
Itemset: [870], Utility: 18567.00
Itemset: [1267], Utility: 13442.00
Itemset: [1014], Utility: 5773.00
Itemset: [520], Utility: 26823.00
Itemset: [1041], Utility: 7940.00
Itemset: [927], Utility: 6203.00
Itemset: [17], Utility: 27382.00
Itemset: [117], Utility: 26777.00
Itemset: [920], Utility: 7344.00
Itemset: [714 244 920 1490], Utility: 3129.00
Itemset: [244 920 714], Utility: 3258.00
Itemset: [130], Utility: 23102.00
Itemset: [1037], Utility: 5509.00
Itemset: [1441], Utility: 14653.00
Itemset: [287], Utility: 16840.00
Itemset: [831], Utility: 13628.00
Itemset: [604], Utility: 10237.00
Itemset: [150], Utility: 30968.00
Itemset: [420], Utility: 24416.00
Itemset: [771], Utility: 10421.00
Itemset: [177], Utility: 15401.00
Itemset: [800], Utility: 26422.00
Itemset: [237], Utility: 24221.00
Itemset: [617], Utility: 12598.00
Itemset: [1274], Utility: 13011.00
Itemset: [1381], Utility: 18169.00
Itemset: [1354], Utility: 14034.00
Itemset: [460], Utility: 17739.00
Itemset: [1164], Utility: 16264.00
Itemset: [197], Utility: 25881.00
Itemset: [301], Utility: 5445.00
Itemset: [1321], Utility: 21307.00
Itemset: [44], Utility: 29014.00
Itemset: [77], Utility: 25323.00
Itemset: [507], Utility: 23008.00
Itemset: [507 457], Utility: 3837.00
Itemset: [750], Utility: 19274.00
Itemset: [1061], Utility: 14150.00
Itemset: [1061 1211], Utility: 3839.00
Itemset: [360], Utility: 14942.00
Itemset: [757], Utility: 12267.00
Itemset: [680], Utility: 14484.00
Itemset: [1017], Utility: 21987.00
Itemset: [477], Utility: 9936.00
Itemset: [1330], Utility: 12318.00
Itemset: [684], Utility: 6422.00
Itemset: [357], Utility: 19824.00
Itemset: [1260], Utility: 6211.00
Itemset: [1471], Utility: 14557.00
Itemset: [821], Utility: 16687.00
Itemset: [591], Utility: 9992.00
Itemset: [860], Utility: 21660.00
Itemset: [1044], Utility: 11843.00
Itemset: [471], Utility: 8530.00
Itemset: [384], Utility: 6135.00
Itemset: [1364], Utility: 14753.00
Itemset: [161], Utility: 15180.00
Itemset: [740], Utility: 19585.00
Itemset: [607], Utility: 25262.00
Itemset: [687], Utility: 9860.00
Itemset: [977], Utility: 7743.00
Itemset: [71], Utility: 23095.00
Itemset: [1031], Utility: 12413.00
Itemset: [1324 1031 1474 1374 814 1024], Utility: 3489.00
Itemset: [1031 1474 1374 1324], Utility: 3012.00
Itemset: [1031 1474 1374 1324 1024], Utility: 3097.00
Itemset: [1031 1374 814 1324 1024], Utility: 3154.00
Itemset: [391], Utility: 11564.00
Itemset: [1131], Utility: 23461.00
Itemset: [1001], Utility: 21326.00
Itemset: [570], Utility: 23604.00
Itemset: [227], Utility: 20602.00
Itemset: [577], Utility: 26293.00
Itemset: [577 527], Utility: 3024.00
Itemset: [667], Utility: 22532.00
Itemset: [480], Utility: 20159.00
Itemset: [337], Utility: 8038.00
Itemset: [707], Utility: 17770.00
Itemset: [707 990], Utility: 3226.00
Itemset: [1407], Utility: 6485.00
Itemset: [1411], Utility: 20828.00
Itemset: [1071], Utility: 23681.00
Itemset: [630], Utility: 26116.00
Itemset: [824], Utility: 18525.00
Itemset: [1501], Utility: 26374.00
Itemset: [514], Utility: 16574.00
Itemset: [514 331 791 880], Utility: 3063.00
Itemset: [514 880], Utility: 3855.00
Itemset: [1244], Utility: 11140.00
Itemset: [817], Utility: 16335.00
Itemset: [424], Utility: 14982.00
Itemset: [411], Utility: 5641.00
Itemset: [1504], Utility: 16788.00
Itemset: [601], Utility: 19143.00
Itemset: [404], Utility: 14230.00
Itemset: [644], Utility: 8838.00
Itemset: [974], Utility: 8400.00
Itemset: [760], Utility: 19177.00
Itemset: [107], Utility: 18022.00
Itemset: [1081], Utility: 26575.00
Itemset: [497], Utility: 18740.00
Itemset: [784], Utility: 5099.00
Itemset: [1054], Utility: 13855.00
Itemset: [627], Utility: 16705.00
Itemset: [1541], Utility: 29527.00
Itemset: [517], Utility: 28931.00
Itemset: [27], Utility: 26158.00
Itemset: [1401], Utility: 15827.00
Itemset: [830], Utility: 24074.00
Itemset: [610], Utility: 24189.00
Itemset: [334], Utility: 8944.00
Itemset: [1451], Utility: 17455.00
Itemset: [1487], Utility: 9828.00
Itemset: [204], Utility: 15605.00
Itemset: [697], Utility: 12929.00
Itemset: [657], Utility: 18840.00
Itemset: [840], Utility: 15441.00
Itemset: [427], Utility: 21434.00
Itemset: [930], Utility: 15380.00
Itemset: [224], Utility: 16421.00
Itemset: [917], Utility: 11762.00
Itemset: [611], Utility: 8699.00
Itemset: [4], Utility: 29790.00
Itemset: [1434], Utility: 11092.00
Itemset: [1084], Utility: 13274.00
Itemset: [54], Utility: 27730.00
Itemset: [527], Utility: 23724.00
Itemset: [377], Utility: 21970.00
Itemset: [1130], Utility: 15650.00
Itemset: [984], Utility: 8242.00
Itemset: [747], Utility: 17356.00
Itemset: [284], Utility: 10576.00
Itemset: [994], Utility: 7888.00
Itemset: [530], Utility: 33744.00
Itemset: [1080], Utility: 18360.00
Itemset: [774], Utility: 21977.00
Itemset: [190], Utility: 36502.00
Itemset: [1087], Utility: 16350.00
Itemset: [194], Utility: 29562.00
Itemset: [1530], Utility: 13116.00
Itemset: [911], Utility: 20145.00
Itemset: [214], Utility: 26025.00
Itemset: [737], Utility: 13149.00
Itemset: [737 1180], Utility: 3314.00
Itemset: [990], Utility: 29022.00
Itemset: [871], Utility: 22775.00
Itemset: [1550], Utility: 16973.00
Itemset: [464], Utility: 27857.00
Itemset: [874], Utility: 16433.00
Itemset: [574], Utility: 23545.00
Itemset: [484 574 251 890], Utility: 3201.00
Itemset: [807], Utility: 13726.00
Itemset: [1210], Utility: 15815.00
Itemset: [1537], Utility: 21458.00
Itemset: [1444], Utility: 17588.00
Itemset: [854], Utility: 15963.00
Itemset: [251], Utility: 20834.00
Itemset: [251 484], Utility: 4246.00
Itemset: [81], Utility: 20292.00
Itemset: [1181], Utility: 17118.00
Itemset: [234], Utility: 25268.00
Itemset: [494], Utility: 18288.00
Itemset: [780], Utility: 28346.00
Itemset: [780 547], Utility: 3222.00
Itemset: [980], Utility: 17275.00
Itemset: [761], Utility: 16954.00
Itemset: [1250], Utility: 19615.00
Itemset: [921], Utility: 14550.00
Itemset: [431], Utility: 9713.00
Itemset: [1160], Utility: 23480.00
Itemset: [511], Utility: 7705.00
Itemset: [354], Utility: 22142.00
Itemset: [1190], Utility: 13895.00
Itemset: [957], Utility: 24407.00
Itemset: [1027], Utility: 21248.00
Itemset: [967], Utility: 6339.00
Itemset: [1224], Utility: 13426.00
Itemset: [1557], Utility: 12199.00
Itemset: [1230], Utility: 8366.00
Itemset: [1214], Utility: 13312.00
Itemset: [910], Utility: 20522.00
Itemset: [457], Utility: 24687.00
Itemset: [767], Utility: 15068.00
Itemset: [1404], Utility: 25645.00
Itemset: [1100], Utility: 8418.00
Itemset: [704], Utility: 15010.00
Itemset: [524], Utility: 16628.00
Itemset: [1240], Utility: 18275.00
Itemset: [664], Utility: 17993.00
Itemset: [1490], Utility: 13880.00
Itemset: [1490 244 714], Utility: 3029.00
Itemset: [867], Utility: 18515.00
Itemset: [931], Utility: 20182.00
Itemset: [1124], Utility: 8986.00
Itemset: [730], Utility: 17697.00
Itemset: [1137], Utility: 16405.00
Itemset: [461], Utility: 25570.00
Itemset: [961], Utility: 13878.00
Itemset: [681], Utility: 21131.00
Itemset: [820], Utility: 8509.00
Itemset: [137], Utility: 36428.00
Itemset: [164], Utility: 28001.00
Itemset: [897], Utility: 5913.00
Itemset: [1332 897 55 338 38 672 882 600 1340 155 11 1182 388], Utility: 3151.00
Itemset: [1332 55 1340 897 600 388 338 11 38 672 882 1182 155 1149], Utility: 3004.00
Itemset: [1340 1182 38 882 600 338 1332 897 672 388 629 55 155 11], Utility: 3071.00
Itemset: [1340 155 388 672 1182 1332 11 600 55 38 882 897], Utility: 3186.00
Itemset: [38 882 1340 1332 11 600 55 897 155 388 672 1182 1149], Utility: 3039.00
Itemset: [55 672 1340 155 897 600 11 1182 1332 388 629 38 882], Utility: 3106.00
Itemset: [338 11 388 897 1182 600 155 38 882 55 672 1340], Utility: 3080.00
Itemset: [1182 672 1340 882 55 155 38 897 600 338 11 388 629], Utility: 3000.00
Itemset: [1340 897 1182 38 882 55 155 11 388 600 672], Utility: 3115.00
Itemset: [882 55 388 672 629 897 1182 38 600 1340 155 11], Utility: 3035.00
Itemset: [338 155 882 38 1182 1332 600 11 388 55 672 897], Utility: 3026.00
Itemset: [897 1182 55 672 388 155 38 882 600 11 1332], Utility: 3061.00
Itemset: [338 672 388 882 1340 55 38 1182 897 1332 155 11], Utility: 3026.00
Itemset: [155 1182 672 1340 897 388 1332 882 11 38 55], Utility: 3061.00
Itemset: [864], Utility: 16346.00
Itemset: [934], Utility: 11982.00
Itemset: [787], Utility: 15981.00
Itemset: [904], Utility: 15651.00
Itemset: [1287], Utility: 15768.00
Itemset: [317], Utility: 23768.00
Itemset: [374], Utility: 17273.00
Itemset: [1337], Utility: 6553.00
Itemset: [1010], Utility: 25605.00
Itemset: [474], Utility: 31022.00
Itemset: [1334], Utility: 16534.00
Itemset: [1117], Utility: 30899.00
Itemset: [837], Utility: 17313.00
Itemset: [1300], Utility: 14671.00
Itemset: [250], Utility: 32782.00
Itemset: [534], Utility: 29533.00
Itemset: [1057], Utility: 12989.00
Itemset: [1057 641], Utility: 3420.00
Itemset: [1457], Utility: 28740.00
Itemset: [600], Utility: 24929.00
Itemset: [11 338 1332 672 388 155 600 38 1340 1182 882 55], Utility: 3048.00
Itemset: [600 11 1340 882 388 155 1332 672 1182 38 55], Utility: 3083.00
Itemset: [882 672 1182 55 38 629 600 11 1340 388 155 1332], Utility: 3003.00
Itemset: [882 672 55 11 600 1340 388 1182 155 38], Utility: 3012.00
Itemset: [631], Utility: 8560.00
Itemset: [447], Utility: 28984.00
Itemset: [571], Utility: 13910.00
Itemset: [1247], Utility: 16513.00
Itemset: [731 1247], Utility: 3095.00
Itemset: [1554], Utility: 27067.00
Itemset: [1154], Utility: 17371.00
Itemset: [1344], Utility: 15176.00
Itemset: [1097], Utility: 19334.00
Itemset: [367], Utility: 35326.00
Itemset: [367 417], Utility: 3019.00
Itemset: [487], Utility: 26118.00
Itemset: [1534], Utility: 26285.00
Itemset: [1474], Utility: 21151.00
Itemset: [1474 1024 1374 814 1324], Utility: 3166.00
Itemset: [1474 1374 1324], Utility: 3327.00
Itemset: [970], Utility: 28446.00
Itemset: [1170], Utility: 23039.00
Itemset: [1000], Utility: 25490.00
Itemset: [891], Utility: 24485.00
Itemset: [1410], Utility: 15972.00
Itemset: [857], Utility: 18680.00
Itemset: [21], Utility: 23939.00
Itemset: [1034], Utility: 24763.00
Itemset: [811], Utility: 25973.00
Itemset: [1527], Utility: 29471.00
Itemset: [1341], Utility: 32104.00
Itemset: [1120], Utility: 17709.00
Itemset: [441], Utility: 6069.00
Itemset: [881], Utility: 18540.00
Itemset: [1510], Utility: 10186.00
Itemset: [321], Utility: 23722.00
Itemset: [584], Utility: 24808.00
Itemset: [151], Utility: 27298.00
Itemset: [1331], Utility: 28785.00
Itemset: [764], Utility: 32750.00
Itemset: [387], Utility: 26792.00
Itemset: [387 1030], Utility: 3057.00
Itemset: [381], Utility: 21789.00
Itemset: [960], Utility: 22071.00
Itemset: [1507], Utility: 17345.00
Itemset: [1350], Utility: 8570.00
Itemset: [1350 647 691 901 907], Utility: 3018.00
Itemset: [691 901 907 258 1350 647], Utility: 3065.00
Itemset: [971], Utility: 29719.00
Itemset: [1387 971], Utility: 3929.00
Itemset: [191], Utility: 24715.00
Itemset: [721], Utility: 21319.00
Itemset: [624], Utility: 24709.00
Itemset: [451], Utility: 19715.00
Itemset: [1074], Utility: 25886.00
Itemset: [1480], Utility: 14344.00
Itemset: [211], Utility: 25988.00
Itemset: [320], Utility: 33641.00
Itemset: [300], Utility: 31655.00
Itemset: [677], Utility: 28715.00
Itemset: [841], Utility: 20415.00
Itemset: [951], Utility: 21510.00
Itemset: [951 1161 1367], Utility: 3070.00
Itemset: [504], Utility: 18867.00
Itemset: [647], Utility: 26880.00
Itemset: [647 691 258 901 907], Utility: 3017.00
Itemset: [537], Utility: 24506.00
Itemset: [827], Utility: 11671.00
Itemset: [1067], Utility: 17634.00
Itemset: [500], Utility: 27339.00
Itemset: [131], Utility: 23536.00
Itemset: [954], Utility: 18156.00
Itemset: [104], Utility: 35492.00
Itemset: [104 547], Utility: 4078.00
Itemset: [1421], Utility: 30116.00
Itemset: [1437], Utility: 16804.00
Itemset: [1384], Utility: 25512.00
Itemset: [467], Utility: 36809.00
Itemset: [797], Utility: 22779.00
Itemset: [660], Utility: 29164.00
Itemset: [417 660], Utility: 3148.00
Itemset: [437], Utility: 22446.00
Itemset: [271], Utility: 24672.00
Itemset: [1400], Utility: 9569.00
Itemset: [614], Utility: 33007.00
Itemset: [1371], Utility: 23763.00
Itemset: [484], Utility: 32586.00
Itemset: [454], Utility: 10474.00
Itemset: [184], Utility: 33563.00
Itemset: [1207], Utility: 17334.00
Itemset: [361], Utility: 11923.00
Itemset: [1030], Utility: 25872.00
Itemset: [1460], Utility: 21132.00
Itemset: [1187], Utility: 19553.00
Itemset: [1461], Utility: 26621.00
Itemset: [407], Utility: 34423.00
Itemset: [950], Utility: 32033.00
Itemset: [291], Utility: 21674.00
Itemset: [291 274], Utility: 3126.00
Itemset: [330], Utility: 40832.00
Itemset: [890], Utility: 24374.00
Itemset: [241], Utility: 26614.00
Itemset: [1177], Utility: 16352.00
Itemset: [541], Utility: 19282.00
Itemset: [1347], Utility: 18859.00
Itemset: [1167], Utility: 22426.00
Itemset: [1201], Utility: 34402.00
Itemset: [900], Utility: 21023.00
Itemset: [900 351], Utility: 3326.00
Itemset: [1270], Utility: 23929.00
Itemset: [861], Utility: 25679.00
Itemset: [1264], Utility: 24990.00
Itemset: [1477], Utility: 26980.00
Itemset: [1477 1394], Utility: 3277.00
Itemset: [1477 641], Utility: 3242.00
Itemset: [1241], Utility: 31006.00
Itemset: [1241 1324], Utility: 4898.00
Itemset: [1191], Utility: 23272.00
Itemset: [1171], Utility: 32636.00
Itemset: [1220], Utility: 20309.00
Itemset: [390], Utility: 40092.00
Itemset: [470], Utility: 31949.00
Itemset: [1227], Utility: 28880.00
Itemset: [1231], Utility: 37114.00
Itemset: [1174], Utility: 21383.00
Itemset: [501], Utility: 15813.00
Itemset: [1470], Utility: 22202.00
Itemset: [1194], Utility: 26954.00
Itemset: [1007], Utility: 22179.00
Itemset: [1547], Utility: 23264.00
Itemset: [794], Utility: 13309.00
Itemset: [491], Utility: 30578.00
Itemset: [491 724], Utility: 3482.00
Itemset: [851], Utility: 25004.00
Itemset: [371], Utility: 7736.00
Itemset: [947], Utility: 7261.00
Itemset: [281], Utility: 25965.00
Itemset: [581], Utility: 29685.00
Itemset: [1291], Utility: 26982.00
Itemset: [877], Utility: 17298.00
Itemset: [661], Utility: 24467.00
Itemset: [1394], Utility: 26153.00
Itemset: [1077], Utility: 33822.00
Itemset: [1114], Utility: 31493.00
Itemset: [694], Utility: 28554.00
Itemset: [1157], Utility: 34844.00
Itemset: [1397], Utility: 15781.00
Itemset: [1397 1447], Utility: 3358.00
Itemset: [744], Utility: 35569.00
Itemset: [587], Utility: 32108.00
Itemset: [417], Utility: 31966.00
Itemset: [1110], Utility: 29368.00
Itemset: [717 1110], Utility: 3033.00
Itemset: [1281], Utility: 30158.00
Itemset: [1497], Utility: 30538.00
Itemset: [1431], Utility: 33466.00
Itemset: [1140], Utility: 25746.00
Itemset: [1090], Utility: 21245.00
Itemset: [1317], Utility: 22770.00
Itemset: [121], Utility: 29689.00
Itemset: [1311], Utility: 33124.00
Itemset: [804], Utility: 22489.00
Itemset: [11], Utility: 37000.00
Itemset: [1374], Utility: 29980.00
Itemset: [1374 1324], Utility: 3559.00
Itemset: [1320], Utility: 27365.00
Itemset: [1430], Utility: 32045.00
Itemset: [597], Utility: 29886.00
Itemset: [1060], Utility: 27165.00
Itemset: [1134], Utility: 20422.00
Itemset: [244], Utility: 27880.00
Itemset: [244 714], Utility: 3598.00
Itemset: [654], Utility: 20891.00
Itemset: [1271], Utility: 35344.00
Itemset: [1011], Utility: 32294.00
Itemset: [1011 801], Utility: 3004.00
Itemset: [634], Utility: 25677.00
Itemset: [171], Utility: 26071.00
Itemset: [171 991], Utility: 3117.00
Itemset: [171 968 175 991], Utility: 3116.00
Itemset: [171 991 175], Utility: 3557.00
Itemset: [1277], Utility: 26672.00
Itemset: [1277 1127], Utility: 3863.00
Itemset: [1127 711 1277], Utility: 3107.00
Itemset: [311], Utility: 22832.00
Itemset: [364], Utility: 23549.00
Itemset: [1127], Utility: 26061.00
Itemset: [1200], Utility: 20278.00
Itemset: [304], Utility: 20720.00
Itemset: [414], Utility: 30156.00
Itemset: [264], Utility: 30251.00
Itemset: [1254], Utility: 34783.00
Itemset: [1147], Utility: 14575.00
Itemset: [1520], Utility: 22297.00
Itemset: [724], Utility: 29455.00
Itemset: [1121], Utility: 36884.00
Itemset: [551], Utility: 33818.00
Itemset: [674], Utility: 31150.00
Itemset: [277], Utility: 30344.00
Itemset: [1217], Utility: 13986.00
Itemset: [691], Utility: 30194.00
Itemset: [991], Utility: 33998.00
Itemset: [997 781 1440 991 348], Utility: 3045.00
Itemset: [547], Utility: 25689.00
Itemset: [444], Utility: 30015.00
Itemset: [987], Utility: 26999.00
Itemset: [1211], Utility: 39135.00
Itemset: [554], Utility: 32608.00
Itemset: [554 481], Utility: 3009.00
Itemset: [901], Utility: 32006.00
Itemset: [1094], Utility: 33198.00
Itemset: [1094 1377], Utility: 3692.00
Itemset: [1070], Utility: 37830.00
Itemset: [887], Utility: 22459.00
Itemset: [641], Utility: 37152.00
